#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 3300.000000000    8.57143    53.6802 
 3300.000000000    8.77551    53.9225 
 3300.000000000    8.97959    54.096 
 3300.000000000    9.18367    54.1389 
 3300.000000000    9.38776    53.9785 
 3300.000000000    9.59184    53.5315 
 3300.000000000    9.79592    52.7027 
 3300.000000000    10    51.3847 
  
 3600.000000000    0    130.99 
 3600.000000000    0.204082    120.444 
 3600.000000000    0.408163    111.525 
 3600.000000000    0.612245    104.027 
 3600.000000000    0.816327    97.7659 
 3600.000000000    1.02041    92.5695 
 3600.000000000    1.22449    88.2825 
 3600.000000000    1.42857    84.7634 
 3600.000000000    1.63265    81.885 
 3600.000000000    1.83673    79.5332 
 3600.000000000    2.04082    77.6065 
 3600.000000000    2.2449    76.0153 
 3600.000000000    2.44898    74.6815 
 3600.000000000    2.65306    73.5376 
 3600.000000000    2.85714    72.5262 
 3600.000000000    3.06122    71.5994 
 3600.000000000    3.26531    70.7179 
 3600.000000000    3.46939    69.8507 
 3600.000000000    3.67347    68.9744 
 3600.000000000    3.87755    68.0723 
 3600.000000000    4.08163    67.1341 
 3600.000000000    4.28571    66.1551 
 3600.000000000    4.4898    65.1355 
 3600.000000000    4.69388    64.0799 
 3600.000000000    4.89796    62.9966 
 3600.000000000    5.10204    61.897 
 3600.000000000    5.30612    60.7948 
 3600.000000000    5.5102    59.7057 
 3600.000000000    5.71429    58.6464 
 3600.000000000    5.91837    57.6342 
 3600.000000000    6.12245    56.6863 
 3600.000000000    6.32653    55.8191 
 3600.000000000    6.53061    55.0478 
 3600.000000000    6.73469    54.3852 
 3600.000000000    6.93878    53.8419 
 3600.000000000    7.14286    53.4249 
 3600.000000000    7.34694    53.1373 
 3600.000000000    7.55102    52.9778 
 3600.000000000    7.7551    52.9399 
 3600.000000000    7.95918    53.0109 
 3600.000000000    8.16327    53.1722 
 3600.000000000    8.36735    53.3976 
 3600.000000000    8.57143    53.6535 
